combination,accuracy
"('Month', 'Year', 'Day', 'channel')","[0.5377835684432019, 0.006138500477462345]"
"('Month', 'Year', 'Day', 'img_count', 'link_count', 'author')","[0.5377517335116874, 0.008052121757540463]"
"('Month', 'Weekday', 'Day', 'Hour', 'channel')","[0.5377407316189334, 0.007564632555413516]"
"('Month', 'Weekday', 'Day', 'link_count', 'title_bit_count')","[0.5377295384958531, 0.007624842146741734]"
"('Month', 'Year', 'img_count', 'content_len', 'link_count', 'author')","[0.537669376728825, 0.0047871120149073]"
"('Month', 'Weekday', 'Year', 'img_count', 'link_count', 'title_bit_count')","[0.5376678083302645, 0.002090524313828922]"
"('Month', 'Weekday', 'Hour')","[0.5376181709107978, 0.0029188790278881272]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5375744978684074, 0.004866362719202898]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5375719292106372, 0.003960648720287762]"
"('Month', 'Weekday', 'img_count', 'title_bit_count', 'author', 'channel')","[0.537568434561368, 0.003430173657700119]"
"('Month', 'Year', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5375390851686742, 0.004629831185831722]"
"('Month', 'Day', 'Hour', 'content_len', 'author', 'channel')","[0.5375388400601679, 0.004792384861400307]"
"('Month', 'Day', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.5375078542016214, 0.007338905167517817]"
"('Month', 'Weekday', 'Year', 'Hour')","[0.537482278059427, 0.005712661123990384]"
