combination,accuracy
"('Day', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5153081180909886, 0.006130218574941321]"
"('Day', 'content_len', 'link_count', 'author')","[0.5153060367812177, 0.007145292859863016]"
"('Month', 'Day', 'img_count', 'link_count', 'title_word_count')","[0.5152936763868434, 0.0060938162670285045]"
"('Hour', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5152550352397917, 0.0045850788048444275]"
"('Year', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5151980869160206, 0.004501645496223936]"
"('Weekday', 'Day', 'img_count', 'content_len')","[0.5151926717112022, 0.00521531265064418]"
"('Weekday', 'Day', 'img_count', 'content_len', 'channel')","[0.5151651517583264, 0.004170235909570718]"
"('Weekday', 'Day', 'img_count', 'link_count', 'title_word_count')","[0.5151571580147981, 0.008547870173266808]"
"('Day', 'title_word_count')","[0.5151554507691782, 0.005096255984798944]"
"('Month', 'Year', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5151532316808254, 0.004403060979198539]"
"('link_count', 'title_bit_count', 'author')","[0.5151498520861602, 0.006898216690581586]"
"('Month', 'Day', 'content_len', 'title_word_count', 'title_bit_count')","[0.5151138012559926, 0.003509936860122614]"
"('Weekday', 'Year', 'Hour', 'content_len', 'title_bit_count')","[0.5150997392129926, 0.007707148725466002]"
"('Year', 'Day', 'img_count')","[0.515097796034289, 0.007632299106575459]"
"('Year', 'img_count')","[0.5150966435135637, 0.0042013671326237316]"
"('Month', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5150359706363846, 0.003922879474109641]"
"('Month', 'Hour', 'content_len', 'link_count')","[0.5149707074611143, 0.013793374234002865]"
"('Day', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5149515250603862, 0.0027487009359469777]"
"('Weekday', 'Hour', 'content_len', 'link_count')","[0.5149095767010914, 0.005034326781152192]"
"('Weekday', 'Year', 'content_len', 'link_count', 'channel')","[0.5149062022436406, 0.008904398499066105]"
"('Year', 'Day', 'Hour', 'img_count', 'title_word_count')","[0.514900419179003, 0.005413396595517844]"
"('Year', 'Day', 'img_count', 'link_count', 'author')","[0.5148821930206007, 0.00444019335333236]"
"('Day', 'img_count', 'title_bit_count', 'author')","[0.514880509880771, 0.009044712731364129]"
"('Weekday', 'img_count', 'content_len', 'channel')","[0.5147812148173422, 0.007246947109400848]"
"('Month', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5147759433623645, 0.0025100244927789375]"
"('Day', 'content_len', 'title_word_count', 'author')","[0.5147240120499047, 0.009211677187280675]"
"('Weekday', 'Day', 'Hour', 'content_len', 'title_bit_count')","[0.5147070512865214, 0.004501224037259128]"
"('Year', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5146982620790543, 0.00474229675668202]"
"('Month', 'content_len', 'title_word_count', 'channel')","[0.5146693684451649, 0.00879438662817916]"
"('Month', 'Hour', 'title_word_count', 'channel')","[0.5146594079122515, 0.002500474959828445]"
"('Day', 'img_count', 'link_count', 'author')","[0.5146546390490186, 0.009339020222028234]"
"('Hour', 'title_bit_count', 'author', 'channel')","[0.5146323592234463, 0.009135829767579344]"
"('Day', 'Hour', 'content_len', 'title_bit_count', 'channel')","[0.5145184292314903, 0.0059534914718956085]"
"('img_count', 'title_word_count', 'channel')","[0.5144705150444893, 0.006680133709187595]"
"('Year', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5144651169926304, 0.0037275496740331792]"
"('Hour', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5144301123773996, 0.007206372555415684]"
"('Year', 'title_word_count', 'title_bit_count', 'author')","[0.5144028860626852, 0.005289049064297967]"
"('Day', 'channel')","[0.5143764244399606, 0.011484920953676534]"
"('Day', 'link_count', 'author')","[0.5143540420984812, 0.0034323103196630855]"
"('Year', 'img_count', 'link_count', 'title_word_count', 'author')","[0.514342318633953, 0.0057290065645820626]"
"('Month', 'Year', 'img_count', 'link_count', 'title_word_count')","[0.514338376681336, 0.002986099714200517]"
"('Weekday', 'img_count', 'title_word_count', 'title_bit_count')","[0.5143222159752204, 0.00561878271253929]"
"('Weekday', 'Hour', 'img_count', 'link_count')","[0.5143189173439917, 0.010479183691661051]"
"('Weekday', 'Year', 'img_count', 'title_bit_count')","[0.5142933060629538, 0.005066938581137323]"
"('Day', 'title_word_count', 'channel')","[0.514276184642531, 0.003042851620188518]"
"('Day', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5142590779183549, 0.0070969867570834936]"
"('Month', 'Year', 'img_count', 'title_word_count', 'title_bit_count')","[0.5142261856471284, 0.002821169363631093]"
"('Weekday', 'Year', 'img_count', 'title_word_count', 'title_bit_count')","[0.5141985335646728, 0.007465058542747272]"
"('Year', 'Hour', 'img_count', 'channel')","[0.5141948361579649, 0.004251203902976637]"
"('Weekday', 'img_count', 'content_len', 'link_count')","[0.5141884417379764, 0.002497595664497893]"
"('Year', 'Day', 'img_count', 'link_count', 'channel')","[0.5141713739741961, 0.007099348205902042]"
"('Weekday', 'Year', 'img_count', 'link_count')","[0.5141404270469335, 0.0111573330165995]"
"('Year', 'Day', 'img_count', 'title_bit_count', 'channel')","[0.5141051971602218, 0.006853253534790416]"
"('Year', 'Hour', 'img_count', 'content_len', 'channel')","[0.5140803108712811, 0.0034151806816210294]"
"('Weekday', 'Day', 'content_len')","[0.5140339573423246, 0.0023709122674180805]"
"('Day', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5139351476739384, 0.006021944558531132]"
"('Weekday', 'Hour', 'link_count', 'title_word_count')","[0.5138937271419358, 0.004103307717465457]"
"('Hour', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.513893484280274, 0.003982528930759776]"
"('Hour', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5138256612509314, 0.007017994273905656]"
"('Hour', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5138077826367267, 0.005657620305941157]"
"('Day', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5137948851961935, 0.007296880343469448]"
"('Weekday', 'content_len', 'link_count', 'title_word_count')","[0.5137881596022298, 0.006238373886759895]"
"('Weekday', 'Hour', 'link_count', 'title_bit_count')","[0.5137629439237532, 0.0053881501008990924]"
"('title_word_count', 'title_bit_count', 'channel')","[0.513738355544668, 0.00499452259408096]"
"('Weekday', 'content_len', 'title_word_count', 'channel')","[0.5137318458758477, 0.004735560758045114]"
"('Hour', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5137167456370115, 0.0016950228179530501]"
"('Hour', 'img_count', 'title_word_count', 'author')","[0.513683881301335, 0.0039258944824898615]"
"('Year', 'title_word_count')","[0.5136649894980128, 0.00545134929179533]"
"('Month', 'Year', 'content_len', 'channel')","[0.5136198608269676, 0.007996896507254976]"
"('Weekday', 'Year', 'img_count', 'content_len', 'link_count')","[0.5135583653299556, 0.0036576243129496882]"
"('Day', 'link_count', 'title_word_count', 'channel')","[0.5135521498620959, 0.006750100072783195]"
"('Month', 'Year', 'title_word_count', 'title_bit_count')","[0.5135445931041898, 0.004363461299246227]"
"('Day', 'title_word_count', 'title_bit_count', 'channel')","[0.5135300471566343, 0.007451751153637866]"
"('Year', 'Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5135266828881553, 0.00608618555451633]"
"('Weekday', 'link_count', 'title_word_count')","[0.5134262711912665, 0.003936961503343852]"
"('Year', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5134058924963647, 0.005589395450245488]"
"('Weekday', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5133941278966486, 0.008513578350087921]"
"('Weekday', 'Year', 'content_len', 'link_count', 'title_word_count')","[0.5133780509834678, 0.0051803750419738585]"
"('Hour', 'img_count', 'title_word_count', 'channel')","[0.5133441008137307, 0.0045582067837449435]"
"('Year', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5133248017407214, 0.007759363308224683]"
"('Day', 'Hour', 'link_count', 'author')","[0.5133029335163588, 0.003927457863437864]"
"('Weekday', 'Day', 'content_len', 'link_count')","[0.5132649859574949, 0.0025289338109929136]"
"('Month', 'Year', 'img_count', 'content_len')","[0.5132451324448329, 0.0029684471315010175]"
"('Month', 'img_count', 'link_count', 'title_word_count')","[0.5132327504295855, 0.008342103130866325]"
"('Year', 'Hour', 'img_count', 'title_word_count')","[0.5132257501054871, 0.008297769587391871]"
"('img_count', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.513168162136968, 0.006222492046238566]"
"('img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5131665737071789, 0.00504057150826985]"
"('Year', 'Day', 'img_count', 'title_word_count', 'author')","[0.5131275885617265, 0.008412379117919878]"
"('Weekday', 'Hour', 'img_count', 'title_bit_count')","[0.5131239303700444, 0.006183255615202411]"
"('Weekday', 'Year', 'Hour', 'content_len')","[0.5130920200762958, 0.006667726591337887]"
"('Year', 'Day', 'content_len', 'title_word_count', 'author')","[0.5129861935775045, 0.005866910640923747]"
"('Year', 'Day', 'img_count', 'link_count', 'title_bit_count')","[0.5129465339537024, 0.0028671397203895565]"
"('Hour', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5129392750699646, 0.00513787557893392]"
"('Day', 'img_count', 'link_count', 'channel')","[0.5128595583695365, 0.004412708012020356]"
"('Year', 'Hour', 'title_word_count', 'author')","[0.512857598535774, 0.005730312553563586]"
"('Year', 'Day', 'link_count', 'channel')","[0.5128369591147098, 0.004419631605910018]"
"('Hour', 'title_word_count', 'author', 'channel')","[0.5128336755409911, 0.0054096937744098844]"
"('Day', 'img_count', 'title_word_count', 'author', 'channel')","[0.5128301113608067, 0.006268311712367086]"
"('Day', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5128284864806465, 0.005487004107237218]"
"('Weekday', 'Day', 'img_count', 'content_len', 'title_word_count')","[0.5127860166738933, 0.005576432250102215]"
"('Day', 'img_count', 'link_count')","[0.5127574599957718, 0.006750337112851755]"
"('link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5127383873835738, 0.004807407319158434]"
"('Year', 'Hour', 'title_bit_count')","[0.5127236838384416, 0.005558474583187044]"
"('Day', 'img_count', 'title_word_count', 'channel')","[0.5127023363119921, 0.010822810589593503]"
"('Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5126962396295855, 0.006162562405333449]"
"('Day', 'img_count', 'title_bit_count')","[0.5126960091046808, 0.005794062156876189]"
"('Weekday', 'Year', 'Day', 'Hour', 'content_len')","[0.5126412740107653, 0.006063471847694873]"
"('Month', 'content_len', 'link_count', 'title_word_count')","[0.5126172414032079, 0.004166266283487224]"
"('Year', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.512580724802328, 0.0027892176312353614]"
"('Hour', 'title_word_count', 'author')","[0.5125500174681976, 0.007292079326736334]"
"('Month', 'img_count', 'content_len', 'link_count')","[0.5125119559704949, 0.005694694304100283]"
"('Hour', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5124181791448463, 0.0051939589383252814]"
"('Year', 'Day', 'img_count', 'title_word_count', 'title_bit_count')","[0.5123977520667735, 0.00387491708313923]"
"('Hour', 'img_count', 'link_count', 'channel')","[0.5123956779694748, 0.008056235885114664]"
"('Day', 'title_word_count', 'author', 'channel')","[0.512352117708733, 0.0042541705689510476]"
"('Year', 'title_bit_count', 'channel')","[0.512343620127968, 0.008492323182285171]"
"('Year', 'Hour', 'img_count', 'link_count', 'channel')","[0.512335637103377, 0.005446334003067719]"
"('Month', 'Year', 'content_len', 'link_count', 'title_bit_count')","[0.5122795557367403, 0.00412839345264937]"
"('Year', 'Day', 'author')","[0.5122569636882784, 0.0076371393100392315]"
"('Hour', 'content_len', 'title_bit_count', 'channel')","[0.5121956472729059, 0.003956125188551117]"
"('Weekday', 'content_len', 'link_count', 'title_bit_count')","[0.5121954777993505, 0.00855587448301666]"
"('Year', 'Day', 'Hour', 'title_bit_count', 'channel')","[0.5121732371515119, 0.005363804313242041]"
"('Day', 'img_count', 'title_word_count')","[0.5121643870429374, 0.008559688584872348]"
"('Weekday', 'content_len')","[0.5120753512331191, 0.005004487038866246]"
"('Day', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5120592543144455, 0.005012994211818229]"
"('Year', 'Day', 'Hour', 'title_word_count', 'author')","[0.5120531088142593, 0.0038320239502283135]"
"('Year', 'Day', 'img_count', 'content_len')","[0.512045821252373, 0.005507104367756942]"
"('Year', 'Hour', 'img_count', 'title_bit_count')","[0.5120229576214357, 0.007149560360194869]"
"('img_count', 'link_count', 'title_bit_count', 'channel')","[0.5119780823142736, 0.003212776519307479]"
"('Day', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5119702784441815, 0.0034915894813079746]"
"('Weekday', 'Year', 'content_len', 'title_bit_count')","[0.5119545078486137, 0.008673495495771826]"
"('img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5119540295562771, 0.004394533027934804]"
"('Year', 'Day', 'link_count', 'author')","[0.5119370856451295, 0.0035972083077538573]"
"('Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5119305058272094, 0.0035261303403947464]"
"('Day', 'Hour', 'img_count', 'content_len', 'channel')","[0.5119262398859201, 0.009067688312910032]"
"('Year', 'Hour', 'link_count', 'title_bit_count')","[0.5118916978648822, 0.005155839172277052]"
"('Year', 'Day')","[0.5118629369715363, 0.005859659260016665]"
"('Weekday', 'Year', 'link_count', 'title_word_count')","[0.5118581259246398, 0.007966620375515739]"
"('Hour', 'link_count', 'title_bit_count', 'channel')","[0.5118544355897707, 0.005325073411686313]"
"('Year', 'Day', 'content_len', 'link_count', 'title_bit_count')","[0.5118183441920584, 0.008752397160994066]"
"('Year', 'Day', 'img_count', 'link_count')","[0.5118087624817493, 0.003909331028300323]"
"('content_len', 'title_word_count', 'author', 'channel')","[0.5117643168427686, 0.005956813451829566]"
"('Month', 'Hour', 'content_len')","[0.511762979034914, 0.004543831416307848]"
"('Day', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5117084611010009, 0.004164542790928797]"
"('content_len', 'title_word_count', 'author')","[0.5116887630467356, 0.005866161880363987]"
"('img_count',)","[0.5116723853774298, 0.004124532517411095]"
"('Month', 'content_len', 'title_word_count', 'title_bit_count')","[0.5116458337837962, 0.005194416616291187]"
"('Year', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5116222007235308, 0.005548027668458389]"
"('Hour', 'img_count', 'title_word_count')","[0.5115956785117698, 0.0035728616719876293]"
"('Year', 'Hour', 'channel')","[0.5115569202167262, 0.006782463075582113]"
"('Hour', 'img_count', 'content_len', 'title_word_count')","[0.5115545283114373, 0.003940692025114435]"
"('Year', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5115225516535785, 0.002861986205628817]"
"('Month', 'Year', 'content_len', 'title_word_count', 'title_bit_count')","[0.5114794681401513, 0.006249176937213243]"
"('Weekday', 'Year', 'img_count', 'content_len', 'title_bit_count')","[0.5114061715369965, 0.00681274696663018]"
"('Year', 'link_count', 'title_bit_count', 'channel')","[0.5113763016468279, 0.004417807004290427]"
"('Year', 'Day', 'link_count', 'title_word_count', 'channel')","[0.5113351805275463, 0.006003149344760031]"
"('Day', 'img_count', 'title_word_count', 'author')","[0.5113179608233459, 0.010346614036026908]"
"('Weekday', 'Hour', 'content_len')","[0.5113116180033133, 0.006317456476501027]"
"('Day', 'img_count', 'content_len', 'link_count')","[0.5112893868765074, 0.004380275107679575]"
"('Year', 'Day', 'title_word_count', 'author', 'channel')","[0.5112835303499588, 0.007739963525396281]"
"('Month', 'Year', 'img_count', 'link_count')","[0.5112672153135558, 0.005119029963266686]"
"('Hour', 'title_bit_count')","[0.5111845433703174, 0.005421399471910493]"
"('Year', 'Hour', 'content_len', 'title_bit_count', 'channel')","[0.5111774339031274, 0.006027673178962896]"
"('Day', 'img_count', 'author')","[0.5111722489295772, 0.007694017556201499]"
"('Month', 'img_count', 'title_word_count', 'title_bit_count')","[0.5111654459013739, 0.004201637592071911]"
"('Day', 'Hour', 'img_count', 'channel')","[0.5111128374928567, 0.00928615718557773]"
"('title_bit_count', 'channel')","[0.511083007699851, 0.0068102684337004536]"
"('Day', 'author')","[0.5109536118398917, 0.009101889931202117]"
"('Year', 'img_count', 'link_count', 'title_bit_count')","[0.5109481010440773, 0.004317534547460574]"
"('Year', 'Hour', 'img_count')","[0.5109008872706171, 0.0022519047861149556]"
"('Hour', 'img_count', 'content_len', 'link_count', 'channel')","[0.510824283680527, 0.00404753188785823]"
"('Day',)","[0.5108133155565211, 0.006899141400201855]"
"('Hour', 'channel')","[0.5108118616831953, 0.0047255539387251935]"
"('Day', 'img_count', 'title_word_count', 'title_bit_count')","[0.5108022987412163, 0.0018936744183904151]"
"('Weekday', 'Year', 'img_count', 'link_count', 'title_word_count')","[0.510760963443272, 0.0019699724233417887]"
"('Month', 'Year', 'content_len', 'link_count')","[0.5107301319599747, 0.004504800080979865]"
"('Day', 'img_count', 'link_count', 'title_bit_count')","[0.5107136449048887, 0.005894638138496655]"
"('Year', 'Day', 'Hour', 'link_count', 'title_bit_count')","[0.5106700688355724, 0.005834919596466203]"
"('Month', 'Year', 'content_len', 'title_bit_count')","[0.5106488938612209, 0.003697372088383643]"
"('Weekday', 'Hour', 'title_bit_count')","[0.5106356190104465, 0.006229061330832361]"
"('Year', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.510619918182844, 0.006304728710362362]"
"('Day', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.510614675971479, 0.0064247161662127]"
"('Year', 'Day', 'Hour', 'img_count', 'channel')","[0.5105599981899281, 0.006962238539316489]"
"('Year', 'Day', 'content_len', 'title_word_count')","[0.5105279601807874, 0.01404323277480077]"
"('Day', 'Hour', 'img_count', 'title_word_count')","[0.510411185507097, 0.007418922623316525]"
"('Weekday', 'img_count', 'title_bit_count')","[0.5103196896593161, 0.004486189119850742]"
"('img_count', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5102780913168915, 0.00738487254662112]"
"('link_count', 'title_word_count')","[0.5102525594877492, 0.0036892673371009]"
"('Weekday', 'Year', 'Hour', 'title_bit_count')","[0.5102212460610398, 0.007983765614503627]"
"('Month', 'Hour', 'link_count')","[0.5101275769034204, 0.006464289936008426]"
"('Year', 'Day', 'Hour', 'title_word_count', 'channel')","[0.5101255607947186, 0.005533804238456961]"
"('Day', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5100986427149671, 0.006739668919739827]"
"('Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5100580191950851, 0.0042334475497820875]"
"('Year', 'Day', 'content_len', 'title_word_count', 'title_bit_count')","[0.5100523875188795, 0.0071202870368871456]"
"('img_count', 'title_word_count')","[0.5100128005495911, 0.0023223508378406193]"
"('Day', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5099818030121641, 0.005948033006212138]"
"('Year', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5099727189237603, 0.006571734157970989]"
"('Day', 'content_len', 'title_word_count')","[0.5099551561413234, 0.0058398392086165185]"
"('Year', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5099411957464991, 0.004305613963455619]"
"('Year', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5098822972054167, 0.006596264077870365]"
"('Month', 'Year', 'content_len', 'title_word_count')","[0.5098263129763309, 0.00613188407761223]"
"('Year', 'Day', 'title_word_count', 'author')","[0.509823235148209, 0.006733359410653443]"
"('Day', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.509794681528863, 0.007347531324967096]"
"('Hour', 'img_count', 'channel')","[0.5097796963184786, 0.007095690755112215]"
"('Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.509768383018565, 0.006356378484036128]"
"('Weekday', 'Year', 'content_len')","[0.5097230578096501, 0.006276790763272426]"
"('Weekday', 'Hour', 'content_len', 'title_bit_count')","[0.5096898994653396, 0.005390840913788352]"
"('Hour', 'img_count', 'content_len', 'channel')","[0.5096277146616155, 0.00809793926928587]"
"('Month', 'Hour', 'img_count', 'title_word_count')","[0.5096214488837002, 0.00628425115248959]"
"('Day', 'Hour', 'link_count', 'channel')","[0.5095714262519093, 0.005171194247134026]"
"('Month', 'content_len', 'title_bit_count')","[0.509551465672241, 0.00729762962759472]"
"('Year', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5094488783869024, 0.005234702308423614]"
"('Year', 'Hour')","[0.509422873384986, 0.0068653271516376365]"
"('Year', 'Hour', 'content_len', 'title_bit_count')","[0.5094187428346997, 0.004906869685109941]"
"('Day', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5092505214572483, 0.00584631472907229]"
"('Day', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.5091998030990056, 0.005836984654099063]"
"('img_count', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5091873603579249, 0.005010961140133302]"
"('link_count', 'title_word_count', 'title_bit_count')","[0.5091798657048968, 0.006218948240545327]"
"('img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5091442302255877, 0.006301708737741757]"
"('Day', 'title_word_count', 'author')","[0.5091373245091664, 0.005096764049189774]"
"('Year', 'Day', 'Hour', 'img_count')","[0.5090984480093192, 0.0036572414128126585]"
"('Year', 'Day', 'img_count', 'title_word_count')","[0.5090960455732711, 0.008875064127693105]"
"('Year', 'img_count', 'link_count', 'channel')","[0.5090727048878898, 0.0071814372727501815]"
"('Year', 'Day', 'img_count', 'title_bit_count')","[0.5090422259268064, 0.008023001592484279]"
"('Weekday', 'Year', 'content_len', 'link_count', 'title_bit_count')","[0.5090301026000323, 0.004110356890454659]"
"('Hour', 'img_count', 'title_bit_count', 'channel')","[0.508987644618721, 0.003777101765050188]"
"('img_count', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5087887722253569, 0.003053867750845626]"
"('Day', 'Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.5087808064898253, 0.00304740107155896]"
"('Hour', 'link_count', 'title_bit_count')","[0.5086911855166952, 0.00524507076326842]"
"('Year', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5086864631108549, 0.004363615466142999]"
"('Year', 'Hour', 'title_bit_count', 'channel')","[0.5086442285799734, 0.005181583949308563]"
"('img_count', 'title_bit_count', 'channel')","[0.5085815043343003, 0.002799323915817086]"
"('Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.5085687827103644, 0.005823950568660988]"
"('Year', 'img_count', 'title_word_count')","[0.5085047244251595, 0.0034184336995444734]"
"('Year', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5084574101933729, 0.007784548709967301]"
"('title_word_count',)","[0.5084071212822074, 0.004994315959624425]"
"('Year',)","[0.5083470945654909, 0.003425792397610191]"
"('link_count', 'channel')","[0.5083226287034651, 0.005555187351019954]"
"('img_count', 'content_len', 'title_word_count', 'channel')","[0.5083161446623282, 0.006279935999024906]"
"('Day', 'img_count', 'content_len', 'link_count', 'channel')","[0.5082420571095867, 0.01058306643483468]"
"('Hour', 'img_count', 'title_bit_count')","[0.5082187537805025, 0.004485871973673865]"
"('Day', 'Hour', 'img_count', 'title_bit_count')","[0.5081782307496466, 0.004195406069403374]"
"('img_count', 'link_count', 'channel')","[0.5081676701382836, 0.007527047394070175]"
"('Weekday', 'Year', 'content_len', 'channel')","[0.5081379654279686, 0.00994891208060618]"
"('Hour', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5081158805396309, 0.005655418022862746]"
"('Year', 'Day', 'Hour', 'content_len', 'channel')","[0.5081044701164575, 0.0071087317909718385]"
"('Day', 'Hour', 'title_bit_count', 'channel')","[0.5081018665837964, 0.007075462326174433]"
"('Day', 'Hour', 'img_count', 'link_count', 'channel')","[0.5080937929080052, 0.006635307039039932]"
"('Day', 'img_count', 'content_len', 'title_word_count')","[0.5080658559496442, 0.005988706245669625]"
"('Day', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5080384259858273, 0.003257832726556726]"
"('Weekday', 'img_count', 'content_len', 'title_bit_count')","[0.5080181084539572, 0.012466755603684324]"
"('Day', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5080177626747897, 0.0041773254946039255]"
"('img_count', 'link_count', 'title_word_count', 'channel')","[0.5080144628527148, 0.006310870659020137]"
"('Day', 'img_count', 'content_len')","[0.5079413403627271, 0.0034283055430584064]"
"('img_count', 'content_len')","[0.5079250170035057, 0.0031545662749452273]"
"('Day', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5079069571468063, 0.0035776801968855675]"
"('Month', 'content_len', 'title_word_count')","[0.5078946118196396, 0.0074199475143267276]"
"('Day', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5078883956958851, 0.0029148461868024763]"
"('Year', 'img_count', 'content_len', 'link_count', 'channel')","[0.5078223488180774, 0.006875178883912442]"
"('Weekday', 'content_len', 'title_bit_count')","[0.5078114526113648, 0.00632036572221336]"
"('Year', 'Day', 'content_len', 'title_word_count', 'channel')","[0.5077976494558223, 0.007056148819602364]"
"('Year', 'Day', 'Hour', 'link_count', 'channel')","[0.5077948554958629, 0.004931904685491814]"
"('Day', 'content_len', 'title_word_count', 'title_bit_count')","[0.5077799468273694, 0.006007920586669032]"
"('Day', 'link_count', 'channel')","[0.5077732471238047, 0.0019387633606427195]"
"('Hour', 'img_count', 'content_len', 'link_count')","[0.5077090462214583, 0.006980346484834953]"
"('link_count', 'title_word_count', 'channel')","[0.5075706098906673, 0.0076279476157469]"
"('Month', 'content_len', 'link_count')","[0.5075622662189402, 0.0030605961747972683]"
"('Year', 'Day', 'img_count', 'link_count', 'title_word_count')","[0.5075482586889274, 0.00627706766880531]"
"('Year', 'Day', 'title_bit_count')","[0.507441193913788, 0.0032446218072928364]"
"('Year', 'link_count', 'title_word_count', 'channel')","[0.5074156163846941, 0.007083502605559962]"
"('link_count', 'title_bit_count', 'channel')","[0.5074073418680433, 0.0076608978859909575]"
"('Day', 'img_count', 'link_count', 'title_word_count')","[0.507388665544525, 0.0038181617278353827]"
"('Year', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5073521084214079, 0.006173881828504349]"
"('Year', 'title_bit_count')","[0.5073292982288007, 0.008612892388390265]"
"('Year', 'Hour', 'title_bit_count', 'author')","[0.5073132704045731, 0.007216172859488067]"
"('Hour', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5072315861535026, 0.009087851143373366]"
"('Year', 'Day', 'img_count', 'content_len', 'channel')","[0.5071853299205071, 0.005681225283504754]"
"('Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5071612563836567, 0.0030794915349719194]"
"('Hour', 'link_count', 'channel')","[0.5071568267527509, 0.007426909008198065]"
"('Day', 'Hour', 'content_len', 'channel')","[0.5070568225041907, 0.004071243135437092]"
"('Hour', 'title_bit_count', 'author')","[0.5070187457234534, 0.008461960396227704]"
"('img_count', 'content_len', 'title_word_count')","[0.5070112951911868, 0.004674215181324041]"
"('Day', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5070001979584273, 0.010694715149893274]"
"('link_count',)","[0.5069818630656966, 0.005893017228805913]"
"('Day', 'Hour', 'link_count', 'title_bit_count')","[0.5069692449344678, 0.003173460536411026]"
"('Day', 'Hour', 'channel')","[0.5069326530149094, 0.006486693043118957]"
"('Hour', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5069267854481945, 0.0036140815060506444]"
"('Year', 'Day', 'img_count', 'content_len', 'title_word_count')","[0.5069141626831606, 0.008975267362920017]"
"('Year', 'Day', 'content_len', 'title_bit_count', 'channel')","[0.5069018295188006, 0.009800108208400644]"
